id,name,start_date,end_date,replaces,replaced_by,cabinet,cabinetLabel
Q4980126,Bryan Gould,1992-07-18,1992-09-29,,Q285249,,
Q285249,Ann Clwyd,1992-09-29,1993-10-21,Q4980126,Q262727,,
Q262727,Mo Mowlam,1993-10-21,1994-07-21,Q285249,Q333264,,
Q333264,"Chris Smith, Baron Smith of Finsbury",1994-07-21,1995-10-19,Q262727,Q336214,,
Q336214,Jack Cunningham,1995-10-19,1997-05-02,Q333264,Q332696,,
Q332696,Virginia Bottomley,1997-05-02,1997-06-11,Q336214,Q333986,,
Q333986,Francis Maude,1997-06-11,1998-06-01,Q332696,Q337709,,
Q337709,Peter Ainsworth,1998-06-01,2001-09-18,Q333986,Q259961,,
Q259961,Tim Yeo,2001-09-18,2002-07-23,Q337709,Q264684,,
Q264684,John Whittingdale,2002-07-23,2003-11-06,Q259961,Q682694,,
Q682694,Julie Kirkbride,2003-11-06,2004-06-19,Q264684,Q264766,,
Q264766,Theresa May,2005-05-06,2005-12-08,Q682694,Q327716,,
Q327716,Hugo Swire,2005-12-08,2007-07-02,Q264766,Q333533,,
Q333533,Jeremy Hunt (politician),2007-07-02,2010-05-11,Q327716,Q264618,,
Q264618,Ben Bradshaw,2010-05-11,2010-10-08,Q333533,Q749659,,
Q749659,Ivan Lewis,2010-10-08,2011-10-07,Q264618,Q234182,,
Q234182,Harriet Harman,2011-10-07,2015-05-11,Q749659,Q266146,,
Q266146,Chris Bryant,2015-05-11,2015-09-13,Q234182,Q302363,,
Q302363,Michael Dugher,2015-09-13,2016-01-05,Q266146,Q302815,,
Q302815,Maria Eagle,2016-01-06,2016-06-27,Q302363,Q689421,,
Q689421,Kelvin Hopkins,2016-06-28,2016-10-07,Q302815,Q263802,,
Q263802,Tom Watson (Labour politician),2016-10-07,2017-07-03,Q689421,Q263802,,
Q263802,Tom Watson (Labour politician),2017-07-03,2019-12-12,Q263802,Q7831699,,
Q7831699,Tracy Brabin,2020-01-07,2020-04-06,Q263802,Q20128115,,
Q20128115,Jo Stevens,2020-04-06,,Q7831699,,,
